kernel_width,elems_per_pe,left_cycles,middle_cycles,right_cycles,walltime
12,491,3391,4100,7779,14.64473557472229
16,1,27,46,27,2.636889934539795
16,11,150,151,255,1.0037825107574463
16,21,252,262,466,1.4417006969451904
16,31,342,367,671,1.8110299110412598
16,41,428,471,875,2.118717670440674
16,51,514,574,1078,2.511043071746826
16,61,596,679,1283,2.9761650562286377
16,71,681,784,1488,3.5206499099731445
16,81,768,886,1690,3.8485023975372314
16,91,852,991,1895,4.29263710975647
16,101,938,1096,2100,4.512201547622681
16,111,1024,1198,2302,4.302854299545288
16,121,1108,1303,2507,5.285023212432861
16,131,1194,1408,2712,5.787853956222534
16,141,1280,1510,2914,6.232921123504639
16,151,1362,1615,3119,6.448967218399048
16,161,1446,1720,3324,7.084551572799683
16,171,1534,1823,3527,7.254955053329468
16,181,1618,1927,3731,7.682962417602539
16,191,1702,2032,3936,7.9347779750823975
16,201,1788,2136,4140,8.562248468399048
16,211,1874,2239,4343,8.936235427856445
16,221,1956,2344,4548,9.265308856964111
16,231,2041,2449,4753,12.440941333770752
16,241,2128,2551,4955,9.704048156738281
16,251,2212,2656,5160,10.618161678314209
16,261,2298,2761,5365,9.044402122497559
16,271,2384,2863,5567,10.82575798034668
16,281,2468,2968,5772,12.002856016159058
16,291,2554,3073,5977,12.775211811065674
16,301,2640,3175,6179,12.68575119972229
16,311,2722,3280,6384,14.917316198348999
16,321,2806,3385,6589,14.181134939193726
16,331,2894,3488,6792,14.438957691192627
16,341,2978,3592,6996,13.530343294143677
16,351,3062,3697,7201,14.173031091690063
16,361,3148,3801,7405,15.259597778320312
16,371,3234,3904,7608,15.570251226425171
16,381,3316,4009,7813,15.487635135650635
16,391,3401,4114,8018,16.623066663742065
16,401,3488,4216,8220,17.081053495407104
16,411,3572,4321,8425,17.87509322166443
16,421,3658,4426,8630,17.186601161956787
16,431,3744,4528,8832,17.281163215637207
16,441,3828,4633,9037,18.64685320854187
16,451,3914,4738,9242,18.452085494995117
16,461,4000,4840,9444,27.391207695007324
16,471,4082,4945,9649,21.0153489112854
16,481,4166,5050,9854,19.368701219558716
16,491,4254,5153,10057,19.595786333084106
20,1,27,48,27,0.9044399261474609
20,11,185,181,310,6.863195419311523
20,21,295,313,567,1.787994146347046
20,31,397,448,827,2.1305668354034424
20,41,501,577,1081,2.7325994968414307
20,51,607,709,1338,3.3055338859558105
20,61,714,844,1598,4.08068323135376
20,71,819,973,1852,4.360303163528442
20,81,927,1108,2112,5.0049896240234375
20,91,1032,1240,2369,8.090324878692627
20,101,1139,1373,2627,5.677412986755371
20,111,1243,1504,2883,6.3214380741119385
20,121,1350,1636,3140,7.443897485733032
20,131,1458,1771,3400,9.68085241317749
20,141,1561,1900,3654,6.773835897445679
20,151,1669,2034,3913,8.806314706802368
20,161,1774,2167,4171,8.531596899032593
20,171,1881,2298,4427,13.173433542251587
20,181,1985,2431,4685,8.201453447341919
20,191,2092,2563,4942,9.771445274353027
