kernel_width,elems_per_pe,left_cycles,middle_cycles,right_cycles,walltime
12,71,714,654,1188,81.27314615249634
12,81,810,746,1356,81.6110110282898
12,91,904,838,1521,81.34143233299255
12,101,1007,930,1689,81.6113965511322
12,111,1098,1018,1852,81.29520082473755
12,121,1197,1110,2019,81.67685985565186
12,131,1285,1194,2177,81.36020135879517
12,141,1385,1288,2347,81.96265006065369
12,151,1484,1380,2513,81.33337187767029
12,161,1583,1471,2680,81.63037467002869
12,171,1677,1561,2845,81.294926404953
12,181,1769,1647,3006,81.57729005813599
12,191,1860,1732,3166,81.32736110687256
12,201,1956,1817,3329,81.74822640419006
12,211,2052,1908,3491,81.34334111213684
12,221,2144,1997,3656,81.89896845817566
12,231,2242,2085,3820,81.3335473537445
12,241,2328,2167,3976,81.4591658115387
12,251,2429,2261,4144,81.47062492370605
12,261,2527,2351,4310,81.45708847045898
12,271,2612,2431,4465,81.4329559803009
12,281,2701,2514,4623,81.4241111278534
12,291,2800,2606,4789,81.46627354621887
12,301,2892,2694,4953,81.34790968894958
12,311,2984,2780,5114,81.58010578155518
12,321,3062,2848,5257,81.32043933868408
12,331,3157,2938,5421,81.63732981681824
12,341,3253,3029,-59948,81.31219482421875
12,351,3340,3113,5747,81.68523097038269
12,361,3439,3204,5913,81.29482746124268
12,371,3529,3285,6069,81.58924531936646
12,381,3620,3374,6233,81.36116147041321
12,391,3708,3453,6387,81.65657067298889
12,401,3793,3534,6543,81.27262425422668
12,411,3886,3620,6704,81.66650247573853
12,421,3979,3705,6864,81.28153014183044
12,431,4065,3787,7021,81.66471743583679
12,441,4158,3874,7178,81.32886075973511
12,451,4238,3952,7335,81.65038418769836
12,461,4343,4046,7505,81.38652276992798
12,471,4422,4128,7662,82.74094319343567
12,481,4499,4201,7810,81.38936185836792
12,491,4599,4296,7980,81.59250235557556
16,1,29,54,30,81.51488256454468
16,11,177,170,280,81.59021377563477
16,21,315,277,487,81.4174656867981
16,31,453,390,701,81.48263645172119
16,41,577,499,910,81.47758650779724
16,51,707,676,1187,81.53160405158997
16,61,847,722,1333,81.44471621513367
16,71,975,833,1544,81.45979762077332
16,81,1084,1059,1870,81.51985454559326
16,91,1215,1189,2099,81.3666639328003
16,101,1348,1311,2322,81.6671974658966
16,111,1480,1440,2551,81.4228446483612
16,121,1618,1558,2769,81.59207248687744
16,131,1735,1695,3005,81.32503247261047
16,141,1889,1612,3023,81.5894844532013
16,151,1988,1954,3465,81.3198766708374
16,161,2128,2063,3674,81.56864190101624
16,171,2264,2179,3910,81.27023196220398
16,181,2364,2335,4146,81.69374227523804
16,191,2505,2455,4366,81.28786325454712
16,201,2622,2590,4601,81.67671394348145
16,211,2752,2705,4815,81.38301348686218
16,221,2882,2833,5044,81.72801780700684
16,231,3017,2957,5266,81.46004009246826
16,241,3150,3080,5491,81.72768139839172
16,251,3255,3218,5728,81.4259684085846
16,261,3390,3329,5940,81.66569185256958
16,271,3528,3458,6169,81.36498689651489
16,281,3627,3599,6410,81.66682171821594
16,291,3765,3720,6642,81.39362287521362
16,301,3866,3863,6874,81.55881190299988
16,311,3992,3984,7095,81.36805510520935
16,321,4129,4102,7313,81.46576189994812
16,331,4242,4235,7545,81.40875196456909
16,341,4387,4344,7755,81.5129816532135
16,351,4539,4455,7966,81.37993550300598
16,361,4627,4603,8214,81.45825624465942
16,371,4753,4728,8438,81.38854646682739
16,381,4874,4849,8668,81.36708331108093
16,391,4995,4987,8898,81.70521092414856
16,401,5107,5098,9130,81.52173852920532
16,411,5279,5208,9318,81.582510471344
16,421,5376,5358,9569,81.3345251083374
16,431,5487,5489,9800,81.63084077835083
16,441,5621,5601,10012,81.38352489471436
16,451,5704,5752,10255,81.52876400947571
16,461,5822,5886,10497,81.3109724521637
16,471,5994,5977,10688,81.66695308685303
16,481,6071,6127,10938,81.30489945411682
16,491,6194,6253,11163,81.62582540512085
20,1,29,56,30,81.38540601730347
20,11,218,186,323,81.64866232872009
20,21,377,312,574,81.29596376419067
20,31,534,460,823,81.70534563064575
20,41,690,608,1121,81.34098267555237
